month,Commercial Noise Violations,Heating & Hot Water Failures,Illegal Parking & Traffic Obstructions,Parks & Public Facilities Maintenance,Public Health & Sanitary Conditions,Public Safety & Social Services,Residential Noise Disturbances,Sanitation & Waste Conditions,Street & Public Space Noise,Street & Traffic Infrastructure Failures,Vehicle Abandonment & Derelict Vehicles
2024-12,2121,28466,20217,405,4908,26689,28225,6385,12365,4485,3392
2025-01,4723,67734,47779,1083,12513,61169,78092,13266,30116,10505,9394
2025-02,4344,41075,42146,1098,10090,51857,32799,11809,25959,11770,8284
2025-03,5623,26593,52011,1744,11784,59512,36327,14850,33863,11277,10292
2025-04,5952,17085,48062,2134,11881,61764,37496,14972,39604,9871,9893
2025-05,7168,7683,53339,2584,12982,66794,42119,15435,51373,10487,10557
2025-06,5628,1934,61520,3567,9017,55154,38716,16521,53910,11178,10054
2025-07,4124,156,61598,3308,5956,52371,35872,17166,58811,9419,10943
2025-08,5814,629,54304,2581,6968,52338,43698,15843,55203,8874,10601
2025-09,6045,3776,57529,2364,15347,70146,46442,17893,49655,8793,10038
2025-10,5860,32422,54278,4042,14558,72092,58889,16721,44900,9661,8997
2025-11,5168,48496,50693,1404,11650,59701,51496,12623,33971,7732,7999
2025-12,4195,64436,48493,984,11482,60738,63558,12063,35767,10006,7130
2026-01,2093,26934,26758,511,6624,33356,18291,7952,16458,5223,4508
